"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","BR","PKM","PKD","OG","GAO","MCS"
"*061ya*","Brennan Johnson","NOT/TOT","F","69","Slab","TOT 3<br/>@SHU 0 F","351.5","10.04","54%","-1%","35","26","2,305","5","10","0","46","2","21","2","16","0","21","36","3","0","17","10","0","9","27","2","6","86","0","0","0","42","216"
"*052h5*","Gabriel Martinelli","ARS","M","70","MID","EVE 1<br/>@ARS 2 F","347.8","9.94","45%","0%","35","24","1,999","6","4","0","46","1","22","1","24","0","41","24","1","0","20","5","0","7","40","1","17","95","0","0","0","23","725"
"*05uor*","Yoane Wissa","BRF","F","71","Slab","NEW 4<br/>@BRF 2 F","347.5","10.22","45%","-1%","34","29","2,483","12","3","0","30","1","26","2","16","0","20","51","7","0","5","9","0","13","20","3","38","99","0","1","0","40","426"
"*05g2o*","Joao Pedro","BHA","F","73","RDN","MUN 2<br/>@BHA 0 F","343.5","11.08","100%","0%","31","19","2,026","9","3","0","38","0","26","1","14","0","63","60","2","0","10","11","0","25","43","2","41","65","1","2","0","38","360"
"*03sgc*","Jordan Ayew","CRY","F","72","FA","AVL 0<br/>@CRY 5 F","343.5","9.81","0%","0%","35","30","2,531","4","7","0","25","0","20","1","36","0","80","94","7","1","15","16","1","13","52","2","34","155","0","0","0","37","636"
"*04io3*","Mario Lemina","WOL","M","74","CmBk","WOL 0<br/>@LIV 2 F","342.5","9.79","0%","0%","35","34","2,966","4","1","0","20","0","18","1","58","0","22","24","10","1","4","40","5","56","25","9","35","199","0","0","0","55","360"
"*063e7*","Marcos Senesi","BOU","D","75","W’s","BOU 1<br/>@CHE 2 F","339.92","10.97","91%","0%","31","26","2,234","4","5","0","22","0","4","1","32","2","11","11","13","0","11","35","8","105","11","23","41","164","0","0","0","44","561"
"*05akv*","Tyrick Mitchell","CRY","D","76","Slab","AVL 0<br/>@CRY 5 F","332.78","8.99","97%","0%","37","37","3,202","2","3","0","24","0","4","0","60","1","28","16","6","0","17","26","3","85","18","10","21","208","0","0","0","55","900"
"*05tre*","Vitaly Janelt","BRF","M","77","CC FC","NEW 4<br/>@BRF 2 F","332.73","8.76","10%","+1%","38","37","3,049","1","3","0","37","1","7","1","38","0","10","28","8","0","18","36","7","57","8","9","34","189","0","1","0","52","584"
"*068y0*","Antoine Semenyo","BOU","F","78","BBFC","BOU 1<br/>@CHE 2 F","329.75","9.99","100%","0%","33","25","2,089","8","2","0","29","2","31","1","17","0","53","24","6","0","8","6","1","20","50","2","52","111","0","1","0","33","582"
"*038ze*","Alex Iwobi","EVE/FUL","M","79","RDN","FUL 4<br/>@LUT 2 F","328.83","10.28","83%","+7%","32","27","2,322","5","2","0","53","0","20","1","18","0","29","5","2","0","12","15","0","6","40","0","6","150","0","0","0","41","503"
"*06cmm*","Dominik Szoboszlai","LIV","M","80","FA","WOL 0<br/>@LIV 2 F","328.62","9.96","100%","0%","33","25","2,090","3","2","0","56","2","15","0","19","0","27","29","1","0","9","15","0","13","24","2","14","171","0","2","0","23","551"
"*05tr1*","Ethan Pinnock","BRF","D","81","RyRob","NEW 4<br/>@BRF 2 F","327.83","11.3","3%","0%","29","28","2,521","2","0","0","4","0","4","0","23","0","4","11","1","0","0","43","7","167","6","24","114","131","0","0","0","46","451"
"*04yey*","Max Kilman","WOL","D","82","CC FC","WOL 0<br/>@LIV 2 F","327.51","8.62","19%","0%","38","38","3,420","2","0","0","17","0","6","0","21","0","10","18","7","0","1","39","6","179","10","37","89","177","0","0","0","65","450"
"*05tr8*","Christian Norgaard","BRF","M","83","CmBk","NEW 4<br/>@BRF 2 F","323.2","10.43","7%","0%","31","30","2,502","2","1","0","24","0","7","0","50","0","15","32","8","0","6","54","7","49","6","6","41","216","0","0","0","51","423"
"*0639x*","Marcus Tavernier","BOU","M","84","j.l.","BOU 1<br/>@CHE 2 F","321.01","10.7","98%","0%","30","25","2,108","3","4","1","44","0","16","1","34","0","41","22","3","0","14","5","0","19","44","3","13","142","0","0","0","38","541"
"*05opk*","Vladimir Coufal","WHU","D","85","Laeka B","WHU 1<br/>@MCI 3 F","320.63","8.91","0%","0%","36","36","3,129","0","7","0","33","0","2","0","41","0","13","26","5","1","25","43","8","83","12","15","40","154","0","0","0","69","358"
"*06dq8*","Moussa Diaby","AVL","F","86","BBFC","AVL 0<br/>@CRY 5 F","320","8.42","0%","0%","38","25","2,155","6","8","0","47","3","23","0","5","0","30","15","1","0","11","9","2","5","29","1","2","62","0","0","0","40","431"
"*04gpx*","Dara O'Shea","BUR","D","87","Laeka B","NOT 2<br/>@BUR 1 F","319.47","9.68","0%","0%","33","32","2,891","3","4","0","13","0","5","0","20","1","1","15","5","1","3","35","4","158","1","30","128","140","0","0","1","71","172"
"*05trb*","Bryan Mbeumo","BRF","F","88","RyRob","NEW 4<br/>@BRF 2 F","319.25","12.77","100%","0%","25","22","1,952","9","6","0","32","1","20","2","10","0","39","42","2","0","12","7","1","12","26","2","23","93","0","0","0","31","464"
"*03gu5*","Andrew Robertson","LIV","D","89","j.l.","WOL 0<br/>@LIV 2 F","318.69","13.86","22%","-8%","23","18","1,682","3","2","3","62","0","7","0","24","0","6","5","2","0","24","13","2","34","5","6","14","104","0","0","0","22","239"
"*05ogb*","Anthony Elanga","NOT","F","91","thomas","NOT 2<br/>@BUR 1 F","316.25","8.78","36%","-1%","36","25","2,415","5","9","1","32","0","23","2","19","0","22","26","1","0","7","8","2","16","28","2","18","96","0","0","0","47","248"
"*02lkp*","Raheem Sterling","CHE","F","92","j.l.","BOU 1<br/>@CHE 2 F","316.25","10.2","1%","0%","31","22","1,959","8","4","0","30","4","22","2","10","0","44","41","7","0","10","13","0","8","45","0","2","92","0","3","0","38","352"
"*067yv*","Cody Gakpo","LIV","F","93","MID","WOL 0<br/>@LIV 2 F","313.25","8.95","100%","0%","35","17","1,616","8","5","0","25","0","24","0","17","0","32","38","1","0","6","13","2","7","31","4","32","81","0","0","0","20","504"
"*04mqv*","Emerson","WHU","D","94","RyRob","WHU 1<br/>@MCI 3 F","312.51","8.68","0%","0%","36","35","3,136","1","2","0","25","2","4","1","68","1","17","33","10","0","8","43","10","88","24","15","25","142","0","2","1","67","450"
"*02lp9*","Kyle Walker","MCI","D","95","RDN","WHU 1<br/>@MCI 3 F","311.91","9.75","11%","0%","32","30","2,762","0","4","0","25","1","3","0","24","1","13","18","2","0","19","27","0","35","21","6","26","152","0","0","0","29","872"
"*02oox*","Kevin De Bruyne","MCI","M","96","Noah B","WHU 1<br/>@MCI 3 F","311.25","17.29","0%","0%","18","15","1,214","4","10","0","59","0","17","0","9","0","20","13","2","0","22","4","0","4","10","0","6","54","0","0","0","8","450"
"*05rb8*","Moises Caicedo","BHA/CHE","M","97","CmBk","BOU 1<br/>@CHE 2 F","311.22","8.89","80%","0%","35","33","2,860","1","3","0","23","0","4","0","46","0","24","49","11","0","0","37","6","33","26","25","31","199","0","0","0","50","628"
"*0626q*","Simon Adingra","BHA","F","98","RDN","MUN 2<br/>@BHA 0 F","311","10.03","23%","0%","31","25","2,213","6","1","0","33","0","22","1","20","0","28","19","3","0","14","19","3","22","50","1","8","118","0","1","0","38","330"
"*03yu2*","Abdoulaye Doucoure","EVE","M","99","FA","EVE 1<br/>@ARS 2 F","307.72","9.62","0%","0%","32","32","2,623","7","1","0","33","2","23","1","27","0","42","8","7","0","3","15","2","18","25","3","24","144","0","0","0","36","1,011"
"*05ybq*","Vitalii Mykolenko","EVE","D","102","FA","EVE 1<br/>@ARS 2 F","302.28","10.8","61%","0%","28","28","2,469","2","0","0","13","1","5","2","38","0","11","9","1","0","13","36","5","82","18","11","30","142","0","0","0","37","855"
"*05u1m*","Nathan Collins","BRF","D","103","W’s","NEW 4<br/>@BRF 2 F","300.27","9.38","82%","+1%","32","29","2,644","1","1","0","11","0","2","0","20","1","13","23","3","0","1","44","11","129","11","30","73","136","0","0","0","51","630"
"*068a7*","Pablo Sarabia","WOL","M","104","FA","WOL 0<br/>@LIV 2 F","298.9","9.96","0%","0%","30","20","1,723","4","7","0","51","0","18","0","13","0","23","25","5","0","14","10","0","6","17","1","7","90","0","0","0","27","329"
"*05tr9*","Mathias Jensen","BRF","M","105","j.l.","NEW 4<br/>@BRF 2 F","298.46","9.33","51%","0%","32","27","2,190","3","3","0","41","1","7","0","32","1","18","19","5","0","21","23","2","24","18","6","6","123","0","1","0","45","469"
"*0520r*","Leandro Trossard","ARS","M","106","j.l.","EVE 1<br/>@ARS 2 F","297.36","8.75","91%","+3%","34","18","1,617","12","1","0","24","1","22","0","16","0","39","20","2","0","7","8","0","5","25","1","6","88","0","1","0","10","866"
"*05gcx*","Josh Brownhill","BUR","M","107","W’s","NOT 2<br/>@BUR 1 F","293","8.88","3%","0%","33","23","2,241","4","2","0","34","0","11","0","35","0","14","24","4","1","2","34","1","40","7","8","36","124","0","0","0","53","180"
"*06cm4*","Chiedozie Ogbene","LUT","F","108","Laeka B","FUL 4<br/>@LUT 2 F","292.25","9.74","0%","0%","30","20","1,978","4","1","1","26","3","14","0","10","1","21","50","1","0","11","7","0","31","61","3","29","125","0","2","0","47","98"
"*04mi4*","Callum Hudson-Odoi","CHE/NOT","F","109","thomas","NOT 2<br/>@BUR 1 F","291.75","10.06","51%","-2%","29","20","1,836","8","1","0","36","1","20","1","8","0","33","30","0","0","9","7","0","11","43","1","2","98","0","1","0","41","155"
"*05gcs*","Sander Berge","BUR","M","110","FA","NOT 2<br/>@BUR 1 F","291.75","7.89","14%","0%","37","34","2,997","1","2","0","29","0","3","0","47","1","23","19","8","1","1","23","4","58","20","20","65","202","0","0","0","69","180"
"*049tq*","Dominic Calvert-Lewin","EVE","F","112","RyRob","EVE 1<br/>@ARS 2 F","290.5","9.08","82%","0%","32","26","2,157","7","2","0","19","1","31","3","6","0","25","32","2","0","0","4","0","38","14","4","142","46","0","0","0","27","858"
"*05o4c*","Timothy Castagne","LEI/FUL","D","113","W’s","FUL 4<br/>@LUT 2 F","287.93","8.47","18%","+4%","34","29","2,625","1","3","0","18","0","5","1","24","0","10","10","3","0","10","38","4","57","17","10","35","119","0","0","0","40","801"
"*063y7*","Destiny Udogie","TOT","D","114","FA","TOT 3<br/>@SHU 0 F","286.58","10.24","19%","0%","28","28","2,391","2","3","0","24","0","5","0","33","1","26","36","5","1","1","37","3","67","24","8","22","169","0","0","0","40","466"
"*02m5b*","Chris Wood","NOT","F","115","W’s","NOT 2<br/>@BUR 1 F","285.75","9.22","63%","-7%","31","20","1,790","14","1","0","22","0","26","2","4","0","21","13","0","0","0","1","0","25","6","4","72","46","0","0","0","34","99"
"*06f7b*","Vinicius de Souza Costa","SHU","M","116","FA","TOT 3<br/>@SHU 0 F","285.5","7.93","0%","0%","36","29","2,660","1","0","0","4","1","6","0","76","0","25","14","3","0","2","32","2","75","17","17","67","153","0","0","0","80","90"
"*068yd*","Joao Gomes","WOL","M","118","Slab","WOL 0<br/>@LIV 2 F","282.93","8.32","43%","-2%","34","32","2,643","2","1","0","20","1","8","0","75","0","44","38","11","0","7","18","1","29","26","8","18","183","0","0","0","51","354"
