"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","G","KP","AT","SOT","TkW","DIS","YC","SYC","RC","ACNC","Int","CLR","CoS","AER","OG","GAD","CS"
"*02ltx*","Dan Gosling","BOU","M","263","FA","BOU 3<br/>@CRY 5 F","104.5","4.18","0%","0%","25","2","8","2","7","24","20","8","0","0","1","21","44","11","35","0","0","4"
"*02llz*","Ciaran Clark","NEW","D","264","Ryan C","NEW 4<br/>@FUL 0 F","103.5","9.41","0%","0%","11","3","2","0","3","16","2","1","0","0","0","12","58","0","43","0","15","2"
"*03aoj*","Nemanja Matic","MUN","M","265","FA","CAR 2<br/>@MUN 0 F","103.5","3.7","0%","0%","28","1","13","0","3","31","41","6","1","1","2","30","54","17","52","0","2","6"
"*04u6r*","Andre-Frank Zambo Anguissa","FUL","M","266","FA","NEW 4<br/>@FUL 0 F","103","4.68","0%","0%","22","0","7","0","5","30","42","1","1","1","1","30","31","39","22","0","0","3"
"*03hvn*","Javier Manquillo","NEW","D","267","FA","NEW 4<br/>@FUL 0 F","101.75","5.65","0%","0%","18","0","8","3","1","21","10","2","0","0","3","16","51","4","20","0","15","4"
"*02w5x*","Maya Yoshida","SOU","D","268","FA","HUD 1<br/>@SOU 1 F","100.75","5.93","0%","0%","17","0","5","1","3","11","0","0","0","0","0","44","99","3","34","0","29","3"
"*03sgc*","Jordan Ayew","CRY","F","269","FA","BOU 3<br/>@CRY 5 F","100","5","0%","0%","20","1","17","3","3","23","32","3","0","0","0","7","5","11","34","0","0","5"
"*02ll1*","Mohamed Diame","NEW","M","270","FA","NEW 4<br/>@FUL 0 F","98.5","3.4","0%","0%","29","0","2","0","3","44","37","3","0","0","1","29","36","17","36","0","0","7"
"*04356*","Florian Lejeune","NEW","D","272","FA","NEW 4<br/>@FUL 0 F","97.25","8.1","0%","0%","12","0","6","0","2","16","0","0","0","0","1","20","45","3","32","0","13","4"
"*02lnd*","Phil Jones","MUN","D","273","FA","CAR 2<br/>@MUN 0 F","96.75","5.38","0%","0%","18","0","3","1","2","16","3","1","0","0","0","22","61","3","43","0","17","3"
"*02lpn*","Eric Dier","TOT","M","274","FA","EVE 2<br/>@TOT 2 F","96.5","4.83","0%","0%","20","3","8","0","3","16","10","4","0","0","1","22","43","2","37","0","2","5"
"*04qfz*","Diogo Dalot","MUN","D","275","FA","CAR 2<br/>@MUN 0 F","96.25","6.02","83%","-2%","16","0","17","2","0","12","4","3","0","0","13","8","29","11","20","0","10","1"
"*02lv7*","Vincent Kompany","MCI","D","276","FA","MCI 4<br/>@BHA 1 F","96","5.65","0%","0%","17","1","1","0","1","9","0","6","0","0","0","14","56","4","37","0","7","6"
"*043bz*","Isaac Success Ajayi","WAT","F","277","FA","WHU 4<br/>@WAT 1 F","94.5","3.15","0%","0%","30","1","21","1","10","12","26","4","0","0","1","2","11","13","29","0","0","2"
"*047l2*","Jeff Hendrick","BUR","M","278","FA","ARS 3<br/>@BUR 1 F","93.5","2.92","0%","0%","32","2","12","2","5","13","25","4","0","0","4","12","25","12","18","0","0","4"
"*03jab*","Federico Fernandez","NEW","D","279","FA","NEW 4<br/>@FUL 0 F","93","4.89","0%","0%","19","0","5","2","1","14","4","2","0","0","2","24","104","0","37","0","24","3"
"*02lyx*","Laurent Koscielny","ARS","D","280","Laeka B","ARS 3<br/>@BUR 1 F","92.75","5.46","0%","0%","17","3","2","0","4","11","3","1","0","0","0","28","69","1","26","0","23","3"
"*04gw9*","Alvaro Morata","CHE","F","281","Willy B","CHE 0<br/>@LEI 0 F","92.5","5.78","0%","0%","16","5","7","0","16","5","21","3","0","0","0","0","6","7","18","0","0","6"
"*04mmw*","Jurgen Locadia","BHA","F","282","FA","MCI 4<br/>@BHA 1 F","91.5","3.52","0%","0%","26","2","13","0","10","9","14","1","0","0","4","9","8","5","21","0","0","3"
"*04gyc*","Danilo","MCI","D","283","FA","MCI 4<br/>@BHA 1 F","91.25","8.3","0%","0%","11","1","4","0","3","16","4","1","0","0","2","16","17","6","18","0","7","4"
"*02oq7*","Jack Stephens","SOU","D","284","FA","HUD 1<br/>@SOU 1 F","90.75","3.78","0%","0%","24","1","5","0","5","13","6","4","0","0","0","34","91","4","54","0","35","3"
"*0436l*","Christian Kabasele","WAT","D","285","FA","WHU 4<br/>@WAT 1 F","90.5","4.31","0%","0%","21","0","1","0","2","13","1","2","1","1","0","37","104","0","60","0","26","3"
"*04qrf*","Helder Costa","WOL","F","286","FA","WOL 0<br/>@LIV 2 F","90.5","3.62","0%","0%","25","1","17","2","7","14","42","3","0","0","3","7","5","23","9","0","0","5"
"*02w6v*","Christian Benteke","CRY","F","287","Willy B","BOU 3<br/>@CRY 5 F","88.5","5.53","0%","0%","16","1","9","1","8","1","15","1","0","0","0","0","14","5","88","0","0","3"
"*04yo6*","Miguel Almiron","NEW","M","288","Noah B","NEW 4<br/>@FUL 0 F","88","8.8","0%","0%","10","0","13","2","8","12","7","0","0","0","7","8","4","7","1","0","0","3"
"*03dz4*","Charlie Austin","SOU","F","289","FA","HUD 1<br/>@SOU 1 F","87.5","3.5","0%","0%","25","2","10","2","9","7","17","1","0","0","0","2","13","1","42","0","0","5"
"*043bx*","Michy Batshuayi","CHE/CRY","F","290","Ryan C","BOU 3<br/>@CRY 5 F","87.5","7.95","0%","0%","11","5","2","1","10","2","12","0","0","0","0","3","0","8","11","0","0","3"
"*04s1d*","Matteo Guendouzi","ARS","M","291","FA","ARS 3<br/>@BUR 1 F","87.5","2.65","0%","0%","33","0","17","0","3","28","29","9","0","0","1","26","25","22","18","0","0","3"
"*045kc*","Fernando Llorente","TOT","F","292","FA","EVE 2<br/>@TOT 2 F","86","4.3","0%","0%","20","1","14","4","5","2","12","2","0","0","0","2","10","5","54","1","0","2"
"*03g40*","Kelechi Iheanacho","LEI","F","293","FA","CHE 0<br/>@LEI 0 F","85","2.83","0%","0%","30","1","13","5","6","5","21","2","0","0","1","2","2","9","15","0","0","1"
"*04qqv*","Fred","MUN","M","294","FA","CAR 2<br/>@MUN 0 F","84.5","4.97","0%","0%","17","1","12","2","2","18","18","2","0","0","4","16","7","10","3","0","0","1"
"*04ymz*","Karlan Grant","HUD","F","295","FA","HUD 1<br/>@SOU 1 F","84","6.46","0%","0%","13","3","8","2","11","1","23","0","0","0","0","1","1","12","9","0","0","1"
"*02vlr*","Ki Sung-Yueng","NEW","M","296","FA","NEW 4<br/>@FUL 0 F","83.5","4.64","0%","0%","18","0","16","1","2","12","10","2","0","0","5","20","19","5","13","0","0","4"
"*03r8p*","Harry Arter","CAR","M","297","FA","CAR 2<br/>@MUN 0 F","81.5","3.26","0%","0%","25","0","10","1","5","37","3","10","0","0","6","20","20","4","6","0","0","7"
"*04rf1*","Mohamed Elyounoussi","SOU","M","298","FA","HUD 1<br/>@SOU 1 F","80.5","5.03","0%","0%","16","0","15","0","6","11","8","0","0","0","5","7","5","11","9","0","0","4"
"*04kj4*","Juan Foyth","TOT","D","299","FA","EVE 2<br/>@TOT 2 F","79.75","6.65","0%","0%","12","1","4","0","1","19","8","3","0","1","0","10","47","18","25","0","11","3"
"*04s8j*","Erik Durm","HUD","D","301","FA","HUD 1<br/>@SOU 1 F","78.75","2.81","0%","0%","28","0","11","1","0","21","18","0","0","0","11","38","35","12","23","0","37","3"
"*03r8k*","Charlie Daniels","BOU","D","302","FA","BOU 3<br/>@CRY 5 F","77.75","3.7","0%","0%","21","1","12","0","3","14","9","4","0","0","8","22","45","10","29","0","32","4"
"*03ena*","Aaron Cresswell","WHU","D","303","FA","WHU 4<br/>@WAT 1 F","76.5","3.83","0%","0%","20","0","17","1","0","15","5","1","0","0","11","19","44","5","25","0","26","1"
"*04aj0*","Ademola Lookman","EVE","F","304","FA","EVE 2<br/>@TOT 2 F","76.5","3.64","0%","0%","21","0","10","3","3","7","25","0","0","0","5","8","2","22","6","0","0","1"
"*03rlm*","Pedro Obiang","WHU","M","305","FA","WHU 4<br/>@WAT 1 F","76.5","3.19","0%","0%","24","0","5","2","1","23","5","0","0","0","2","14","13","7","14","0","0","2"
"*04ttm*","Rachid Ghezzal","LEI","M","306","FA","CHE 0<br/>@LEI 0 F","76","4","0%","0%","19","1","15","0","5","6","20","3","0","0","11","7","3","16","10","0","0","1"
"*04qfc*","Kenneth Zohore","CAR","F","307","FA","CAR 2<br/>@MUN 0 F","75.5","3.97","0%","0%","19","1","12","1","8","2","14","1","0","0","2","2","5","5","39","0","0","2"
"*04rtp*","Ken Sema","WAT","M","308","FA","WHU 4<br/>@WAT 1 F","75","4.41","0%","0%","17","1","8","2","4","7","27","1","0","0","1","8","3","18","19","0","0","3"
"*04qfj*","Denis Odoi","FUL","D","309","FA","NEW 4<br/>@FUL 0 F","74.5","2.4","0%","0%","31","0","11","1","1","31","13","4","0","0","4","37","140","14","55","1","62","3"
"*04kj7*","Serge Aurier","TOT","D","310","FA","EVE 2<br/>@TOT 2 F","73","9.12","0%","0%","8","0","6","2","1","13","7","1","0","0","7","7","18","7","11","0","6","2"
"*02t15*","Jordon Ibe","BOU","M","311","FA","BOU 3<br/>@CRY 5 F","72.5","3.82","0%","0%","19","1","10","1","3","5","17","1","0","0","6","4","4","26","2","0","0","1"
"*03m3q*","Ainsley Maitland-Niles","ARS","M","312","FA","ARS 3<br/>@BUR 1 F","72.5","4.53","0%","0%","16","1","6","1","3","19","15","1","1","1","1","19","11","17","6","0","5","2"
