"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*04tig*","Fabian Schar","NEW","D","26","RK U8","NEW 1<br/>@CHE 1 F","11.5","11.5","28%","0%","1","1","90","0","0","0","0","0","1","0","0","0","0","1","0","0","0","3","0","1","0","0","1","0","0","0","0","90"
"*02oox*","Kevin De Bruyne","MCI","M","7","011","MCI 0<br/>@BRF 1 F","11.25","11.25","0%","0%","1","1","90","0","0","0","5","0","1","0","0","0","2","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0"
"*051k0*","John McGinn","AVL","M","101","RyRob","BHA 1<br/>@AVL 2 F","11.1","11.1","69%","0%","1","1","77","0","1","0","2","0","0","0","0","0","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","77"
"*062a9*","Sven Botman","NEW","D","82","FA","NEW 1<br/>@CHE 1 F","10.75","10.75","49%","+5%","1","1","90","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","2","0","1","2","0","0","0","0","90"
"*0522s*","Che Adams","SOU","F","136","FA","LIV 4<br/>@SOU 4 F","10.5","10.5","0%","0%","1","1","90","0","0","0","1","1","1","0","0","0","1","2","0","0","0","0","0","1","0","0","4","0","0","0","2","0"
"*0647t*","Lucas Paqueta","WHU","M","68","RyRob","WHU 1<br/>@LEI 2 F","10.25","10.25","32%","0%","1","1","81","0","0","0","3","0","0","0","2","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","2","0"
"*062h7*","Tyler Adams","LEE","M","188","FA","TOT 4<br/>@LEE 1 F","10.25","10.25","8%","0%","1","1","90","0","0","0","2","0","0","0","1","0","1","1","0","0","0","2","0","2","0","1","0","0","0","0","0","90"
"*062ot*","Cheick Doucoure","CRY","M","102","FA","NOT 1<br/>@CRY 1 F","10.25","10.25","1%","0%","1","1","90","0","0","0","0","0","1","0","2","0","0","1","0","0","0","2","0","1","1","0","1","0","0","0","0","90"
"*03rec*","Tyrone Mings","AVL","D","98","RK U8","BHA 1<br/>@AVL 2 F","10.25","10.25","12%","-1%","1","1","90","0","0","0","0","0","0","0","0","0","0","1","1","0","0","4","2","1","0","0","1","0","0","0","0","90"
"*061vq*","Erling Haaland","MCI","F","4","AUTO REL","MCI 0<br/>@BRF 1 F","10","10","100%","0%","1","1","90","1","0","0","0","0","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"*04qr9*","Morgan Gibbs-White","WOL/NOT","M","19","Laeka B","NOT 1<br/>@CRY 1 F","10","10","99%","0%","1","1","90","0","0","0","3","0","0","1","0","0","1","2","0","0","0","0","0","0","2","0","1","0","0","0","1","0"
"*03aqp*","Mohamed Salah","LIV","F","6","Laeka B","LIV 4<br/>@SOU 4 F","10","10","97%","0%","1","1","90","0","0","0","1","0","2","0","1","0","1","2","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"*04rzl*","Taiwo Awoniyi","NOT","F","195","DF","NOT 1<br/>@CRY 1 F","10","10","20%","+1%","1","1","87","0","0","0","2","0","1","0","2","0","1","2","0","0","0","0","0","1","1","1","0","0","0","0","1","0"
"*05opk*","Vladimir Coufal","WHU","D","137","RyRob","WHU 1<br/>@LEI 2 F","10","10","0%","0%","1","1","90","0","0","0","3","0","0","0","1","0","0","0","1","0","2","2","0","1","0","1","1","0","0","0","2","0"
