"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*0554t*","William Smallbone","SOU","M","451","FA","SOU 1<br/>@LEI 4 F","11","2.75","0%","0%","4","131","0","0","1","0","0","0","4","0","0","0","1","2","0","0","0","1","0","0","0","5","0"
"*051kd*","Jamal Lewis","NEW","D","452","FA","NEW 2<br/>@BUR 1 F","10.75","2.15","0%","0%","5","260","0","0","1","0","0","0","6","7","1","0","0","3","8","0","2","1","0","0","0","4","1"
"*05l8q*","Cole Palmer","MCI","M","454","FA","AVL 2<br/>@MCI 3 F","10","2.5","100%","0%","4","119","0","0","2","0","0","1","1","3","0","0","0","1","0","1","0","2","0","0","0","0","1"
"*05a6e*","Neco Williams","LIV","D","455","FA","WOL 1<br/>@LIV 3 F","10","10","98%","0%","1","6","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"*048xg*","Josh Dasilva","BRF","M","453","FA","LEE 2<br/>@BRF 1 F","10","1.11","0%","0%","9","243","0","0","3","0","0","0","1","5","0","1","1","1","6","7","0","3","0","0","0","4","0"
"*05x12*","Leo Fuhr Hjelde","LEE","D","457","FA","LEE 2<br/>@BRF 1 F","9.75","4.88","0%","0%","2","146","0","0","1","0","0","0","4","0","0","0","0","4","7","0","3","3","0","0","0","5","0"
"*052k1*","Luke Cundle","WOL","M","456","FA","WOL 1<br/>@LIV 3 F","9.75","2.44","0%","0%","4","178","0","0","2","0","0","0","3","1","0","0","0","1","1","0","0","0","0","0","0","1","1"
"*05t6z*","Tim Iroegbunam","WBA/AVL","M","459","FA","AVL 2<br/>@MCI 3 F","8.25","2.75","3%","0%","3","88","0","0","0","0","0","0","4","0","1","0","0","2","1","0","0","3","0","0","0","0","1"
"*04gyl*","Benjamin Mendy","MCI","D","460","FA","AVL 2<br/>@MCI 3 F","7.5","7.5","0%","0%","1","78","0","0","2","0","0","0","2","0","0","0","1","0","0","2","0","0","0","0","0","1","0"
"*04gyz*","Jairo Riedewald","CRY","M","461","FA","MUN 0<br/>@CRY 1 F","7.25","2.42","0%","0%","3","113","0","0","2","0","0","0","1","1","0","0","0","1","1","1","0","0","0","0","0","5","0"
