"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*060u7*","Tony Springett","NOR","M","465","FA","TOT 5<br/>@NOR 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04e1h*","Dale Stephens","BUR","M","467","FA","NEW 2<br/>@BUR 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02oq7*","Jack Stephens","SOU","D","387","FA","SOU 1<br/>@LEI 4 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05trg*","Finley Stevens","BRF","D,M","470","FA","LEE 2<br/>@BRF 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05r3z*","Sil Swinkels","AVL","D","723","FA","AVL 2<br/>@MCI 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04tsd*","Japhet Tanganga","TOT","D","349","FA","TOT 5<br/>@NOR 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04u6l*","Andre Gomes","EVE","M","393","FA","EVE 1<br/>@ARS 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05l0f*","Nathan Tella","SOU","M","357","FA","SOU 1<br/>@LEI 4 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05l2z*","Bobby Thomas","BUR","D","724","FA","NEW 2<br/>@BUR 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05m46*","Luke Thomas","LEI","D","252","FA","SOU 1<br/>@LEI 4 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*052h4*","Dominic Thompson","BRF","D","503","FA","LEE 2<br/>@BRF 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05749*","Kieran Tierney","ARS","D","165","FA","EVE 1<br/>@ARS 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ygj*","Chiquinho","WOL","F","358","FA","WOL 1<br/>@LIV 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02rn6*","James Tomkins","CRY","D","417","FA","MUN 0<br/>@CRY 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04ml9*","Cenk Tosun","EVE","F","726","FA","EVE 1<br/>@ARS 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05trz*","William Troost-Ekong","WAT","D","439","FA","WAT 1<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uox*","Christos Tzolis","NOR","F","412","FA","TOT 5<br/>@NOR 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yly*","Deniz Undav","BHA","F","730","FA","WHU 1<br/>@BHA 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05nue*","Harvey Vale","CHE","M","731","FA","WAT 1<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0452p*","Yan Valery","SOU","D","409","FA","SOU 1<br/>@LEI 4 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05up6*","Raphael Varane","MUN","D","231","Noah B","MUN 0<br/>@CRY 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04s60*","Jannik Vestergaard","LEI","D","410","FA","SOU 1<br/>@LEI 4 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04kjd*","Nikola Vlasic","EVE/WHU","M","368","FA","WHU 1<br/>@BHA 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lzn*","Theo Walcott","SOU","M","442","FA","SOU 1<br/>@LEI 4 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ylv*","Wout Weghorst","BUR","F","261","I_am_Tim","NEW 2<br/>@BUR 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05mxc*","Timo Werner","CHE","F","294","ARA","WAT 1<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*054p3*","Harvey White","TOT","M","737","FA","TOT 5<br/>@NOR 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03bwz*","Harry Winks","TOT","M","327","FA","TOT 5<br/>@NOR 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04s1e*","Andriy Yarmolenko","WHU","F","399","FA","WHU 1<br/>@BHA 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lny*","Ashley Young","AVL","D","326","FA","AVL 2<br/>@MCI 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y3r*","Nathan Young-Coombes","BRF","F","744","FA","LEE 2<br/>@BRF 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*051kc*","Christoph Zimmermann","NOR","D","761","FA","TOT 5<br/>@NOR 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05mxb*","Hakim Ziyech","CHE","M","136","DYCHE","WAT 1<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05w7s*","Cristiano Ronaldo","MUN","F","31","FA","MUN 0<br/>@CRY 1 F","0","0","0%","0%","1","90","0","0","0","0","0","1","0","1","1","0","0","0","3","0","0","1","0","0","0","2","0"
"*05o2l*","Donny van de Beek","MUN/EVE","M","350","FA","EVE 1<br/>@ARS 5 F","0","0","0%","0%","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05u1n*","Derek Agyakwa","WAT","D","505","FA","WAT 1<br/>@CHE 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yi6*","Ryan Alebiousu","ARS","D","506","FA","EVE 1<br/>@ARS 5 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y5a*","Keenan Appiah-Forson","WHU","M","514","FA","WHU 1<br/>@BHA 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0522i*","Billy Arce","BHA","M","515","FA","WHU 1<br/>@BHA 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ret*","Ryan Astley","EVE","D","516","FA","EVE 1<br/>@ARS 5 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yo0*","Zach Awe","ARS","D","519","FA","EVE 1<br/>@ARS 5 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05nnv*","Miguel Azeez","ARS","M","520","FA","EVE 1<br/>@ARS 5 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05udj*","Kwadwo Baah","WAT","M","521","FA","WAT 1<br/>@CHE 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*038zh*","Lewis Baker","CHE","M","522","FA","WAT 1<br/>@CHE 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05x13*","James Balagizi","LIV","M","523","FA","WOL 1<br/>@LIV 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0522g*","Tudor Baluta","BHA","D","525","FA","WHU 1<br/>@BHA 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05lfr*","Scott Banks","CRY","F","526","FA","MUN 0<br/>@CRY 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05r4v*","Jamal Baptiste","WHU","D","527","FA","WHU 1<br/>@BHA 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uwe*","J'Neil Bennett","TOT","F","532","FA","TOT 5<br/>@NOR 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yez*","Mika Biereth","ARS","F","535","FA","EVE 1<br/>@ARS 5 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xtt*","Harvey Blair","LIV","F","536","FA","WOL 1<br/>@LIV 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*061bq*","Adrian Blake","WAT","M","537","FA","WAT 1<br/>@CHE 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04tsg*","Jamie Bowden","TOT","M","540","FA","TOT 5<br/>@NOR 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ye5*","Sammy Braybrooke","LEI","M","543","FA","SOU 1<br/>@LEI 4 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uhr*","Finley Burns","MCI","D","546","FA","AVL 2<br/>@MCI 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05udv*","Kallum Cesay","TOT","D,M","550","FA","TOT 5<br/>@NOR 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05r39*","Kgaogelo Chauke","SOU","M","553","FA","SOU 1<br/>@LEI 4 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05r43*","Benjamin Chrisene","AVL","M","555","FA","AVL 2<br/>@MCI 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05vyd*","Caleb Chukwuemeka","AVL","F","556","FA","AVL 2<br/>@MCI 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ya5*","Kamil Conteh","WAT","M","558","FA","WAT 1<br/>@CHE 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060y3*","Dara Costelloe","BUR","F","559","FA","NEW 2<br/>@BUR 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uwc*","Matthew Craig","TOT","M","562","FA","TOT 5<br/>@NOR 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uwd*","Michael Craig","TOT","M","563","FA","TOT 5<br/>@NOR 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*061br*","Tiago Cukur","WAT","F","564","FA","WAT 1<br/>@CHE 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05zd7*","Lucas De Bolle","NEW","M","567","FA","NEW 2<br/>@BUR 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oh1*","Lars Dendoncker","BHA","D,M","568","FA","WHU 1<br/>@BHA 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05try*","Thomas Dickson-Peters","NOR","F","573","FA","TOT 5<br/>@NOR 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05aly*","Elijah Dixon-Bonner","LIV","M","574","FA","WOL 1<br/>@LIV 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y56*","Oliver Ewing","LEI","M","580","FA","SOU 1<br/>@LEI 4 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05h02*","Malachi Fagan-Walcott","TOT","D","581","FA","TOT 5<br/>@NOR 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060yz*","Alvaro Fernandez","MUN","D","584","FA","MUN 0<br/>@CRY 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060uo*","Marcelo Flores","ARS","M","585","FA","EVE 1<br/>@ARS 5 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ye9*","Shaqai Forde","WAT","M","586","FA","WAT 1<br/>@CHE 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yf1*","Melkamu Frauendorf","LIV","M","587","FA","WOL 1<br/>@LIV 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05vyf*","James Furlong","BHA","D","588","FA","WHU 1<br/>@BHA 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yf2*","Liam Gibbs","NOR","M","590","FA","TOT 5<br/>@NOR 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05tr7*","Lewis Gordon","BRF","D","594","FA","LEE 2<br/>@BRF 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*061bs*","Jack Grieves","WAT","F","598","FA","WAT 1<br/>@CHE 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05reo*","Reece Hannam","CRY","D","602","FA","MUN 0<br/>@CRY 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y57*","Bjorn Hardley","MUN","D","603","FA","MUN 0<br/>@CRY 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05trh*","Maxwell Haygarth","BRF","M","605","FA","LEE 2<br/>@BRF 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
