"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","OG","GAO","CS"
"*04yim*","Christian Pulisic","CHE","M","132","CFPL","CHE 1<br/>@AVL 2 F","210.25","7.79","0%","0%","27","1,728","4","2","25","0","0","16","11","29","2","0","4","12","8","49","2","19","0","0","21","7"
"*04fk6*","Bernardo Silva","MCI","M","134","RyRob","EVE 0<br/>@MCI 5 F","209.5","8.06","94%","0%","26","2,066","2","6","27","0","0","13","14","23","5","0","2","17","6","41","1","13","0","0","18","12"
"*02lni*","Jesse Lingard","MUN/WHU","M","135","Laeka B","SOU 0<br/>@WHU 3 F","206.75","12.92","0%","0%","16","1,419","9","4","18","0","1","22","6","22","3","0","5","4","0","18","1","0","1","0","19","4"
"*02yl5*","John Stones","MCI","D","137","CFPL","EVE 0<br/>@MCI 5 F","206.25","9.38","4%","0%","22","1,933","4","0","2","0","0","5","10","2","0","1","0","18","54","10","15","38","0","0","12","14"
"*04e1k*","Solly March","BHA","M","136","FA","BHA 0<br/>@ARS 2 F","206.25","9.82","1%","0%","21","1,673","2","1","27","0","0","4","23","24","0","0","11","22","21","44","5","15","0","0","25","7"
"*03yeg*","Tosin Adarabioyo","MCI/FUL","D","138","RyRob","NEW 2<br/>@FUL 0 F","205","6.21","7%","-3%","33","2,953","0","0","5","0","0","5","19","5","1","0","0","42","193","11","20","83","0","1","41","9"
"*03yu2*","Abdoulaye Doucoure","EVE","M","140","I_am_Tim","EVE 0<br/>@MCI 5 F","203.75","7.03","0%","0%","29","2,446","2","3","21","0","0","5","32","26","6","0","1","39","25","21","7","38","0","0","36","9"
"*02lsa*","Dan Burn","BHA","D","141","FA","BHA 0<br/>@ARS 2 F","203.25","7.53","75%","+1%","27","2,056","1","0","10","0","0","6","26","9","5","0","7","31","71","12","7","96","0","1","28","6"
"*05o4c*","Timothy Castagne","LEI","D","143","Laeka B","TOT 4<br/>@LEI 2 F","201.5","7.46","18%","+5%","27","2,345","2","3","22","0","0","3","32","11","1","0","9","29","50","11","5","41","0","0","37","7"
"*05247*","Tanguy Ndombele","TOT","M","144","FA","TOT 4<br/>@LEI 2 F","201","6.09","0%","0%","33","2,093","3","2","14","0","0","7","20","33","3","0","2","19","11","74","4","10","0","0","24","12"
"*056ir*","Adam Webster","BHA","D","146","FA","BHA 0<br/>@ARS 2 F","200.75","6.92","0%","0%","29","2,594","1","0","5","0","0","7","16","6","4","0","0","47","84","17","16","77","0","0","35","9"
"*05oh2*","Thiago Alcantara","LIV","M","145","No Slips","CRY 0<br/>@LIV 2 F","200.75","8.36","0%","0%","24","1,849","1","0","30","0","0","5","36","18","4","0","1","30","11","33","0","31","0","0","18","8"
"*037mt*","Harrison Reed","FUL","M","147","FA","NEW 2<br/>@FUL 0 F","199.25","6.43","0%","0%","31","2,245","0","2","21","0","0","4","38","10","5","0","4","50","26","15","11","20","0","0","35","9"
"*05nnx*","Rodrigo","LEE","F","148","CFPL","WBA 1<br/>@LEE 3 F","199","7.65","0%","0%","26","1,277","7","2","31","0","0","18","7","21","3","0","3","5","15","16","0","23","0","0","21","3"
"*03zsq*","Kyle Walker-Peters","SOU","D","150","No Slips","SOU 0<br/>@WHU 3 F","198.75","6.62","8%","-5%","30","2,645","0","2","16","0","1","7","53","49","4","0","5","38","52","46","10","16","0","0","41","9"
