"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","MCS","GA","Sv","YC","RC","FS","PKS","PKD","PKM","TkW","DIS","G","A","A2","KP","AF","Int","IntB","CLR","AER","AC","HCS","Sm","OG","SOT"
"*05uds*","Kjell Scherpen","BHA","G","78","FA","BHA 1<br/>@AVL 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068yw*","George Shelvey","NOT","G","79","FA","NOT 1<br/>@CRY 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05vyb*","Viljami Sinisalo","AVL","G","80","FA","BHA 1<br/>@AVL 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062z4*","Jackson Smith","WOL","G","82","FA","WOL 0<br/>@ARS 5 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rcz*","Alex Smithies","CAR/LEI","G","84","FA","WHU 1<br/>@LEI 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04kpf*","Nathan Trott","WHU","G","87","FA","WHU 1<br/>@LEI 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0656s*","Radek Vitek","MUN","G","89","FA","FUL 1<br/>@MUN 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06bs7*","Ethan Wady","CHE","G","90","FA","NEW 1<br/>@CHE 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ajx*","George Wickens","FUL","G","92","FA","FUL 1<br/>@MUN 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uem*","Marcelo Pitaluga","LIV","G","96","FA","LIV 4<br/>@SOU 4 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05unt*","Mikki van Sas","MCI","G","97","FA","MCI 0<br/>@BRF 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068y6*","Dani van den Heuvel","LEE","G","98","FA","TOT 4<br/>@LEE 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
